Recording	Participant	Variable1	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Number_of_Events.calibration_end	Number_of_Events.calibration_start	Time_to_first_Event.calibration_end	Time_to_first_Event.calibration_start	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations
Recording033	Aperol_pilot_01_04_novice_C_glasses	Novice	Calibration phase	1	fullstream	17224	23641	1	0	16224		15311	1094	14
Recording033	Aperol_pilot_01_04_novice_C_glasses	Novice	Entire Recording	1	fullstream	723922	0	1	1	39865	22641	384537	500	769
Recording034	Aperol_pilot_01_02_expert_A_glasses	Expert	Calibration phase	1	fullstream	13335	4742	1	0	12335		10194	1019	10
Recording034	Aperol_pilot_01_02_expert_A_glasses	Expert	Entire Recording	1	fullstream	838026	0	1	1	17076	3742	385812	361	1070
Recording035	Aperol_pilot_01_03_novice_B_glasses	Novice	Calibration phase	1	fullstream	10615	3910	1	0	9615		9234	543	17
Recording035	Aperol_pilot_01_03_novice_B_glasses	Novice	Entire Recording	1	fullstream	744444	0	1	1	13525	2910	374315	607	617
Recording036	Aperol_pilot_01_01_expert_D_glasses	Expert	Calibration phase	1	fullstream	16470	2986	1	0	15470		14372	1597	9
Recording036	Aperol_pilot_01_01_expert_D_glasses	Expert	Entire Recording	1	fullstream	781978	0	1	1	18456	1986	316571	394	803
Recording037	Aperol_pilot_02_01_novice_A_glasses	Novice	Calibration phase	1	fullstream	17902	5748	1	0	16902		5157	397	13
Recording037	Aperol_pilot_02_01_novice_A_glasses	Novice	Entire Recording	1	fullstream	729762	0	1	1	22649	4748	101541	178	569
Recording038	Aperol_pilot_02_02_novice_B_glasses	Novice	Calibration phase	1	fullstream	12325	3502	1	0	11325		10654	888	12
Recording038	Aperol_pilot_02_02_novice_B_glasses	Novice	Entire Recording	1	fullstream	730565	0	1	1	14827	2502	520431	457	1140
Recording039	Aperol_pilot_02_03_novice_C_glasses	Novice	Calibration phase	1	fullstream	16494	6462	1	0	15494		14151	786	18
Recording039	Aperol_pilot_02_03_novice_C_glasses	Novice	Entire Recording	1	fullstream	737604	0	1	1	21956	5462	469018	448	1048
Recording040	Aperol_pilot_02_04_novice_D_glasses	Novice	Calibration phase	1	fullstream	20964	3690	1	0	19964		19128	1366	14
Recording040	Aperol_pilot_02_04_novice_D_glasses	Novice	Entire Recording	1	fullstream	747729	0	1	1	23654	2690	438655	716	613
